Año,Mes,Empresa agrupada,Origen aeropuerto,Destino aeropuerto,Origen país,Origen localidad,Vuelos,Pasajeros,Asientos
2025,Enero,JetSMART Airlines,Hercílio Luz International Airport,Aeroparque Jorge Newbery,Brasil,Florianópolis,48,6272,8928
2025,Enero,JetSMART Airlines,Rio Galeão – Tom Jobim International Airport,Aeroparque Jorge Newbery,Brasil,Río de Janeiro,31,4304,5766
2025,Enero,JetSMART Airlines,Rio Galeão – Tom Jobim International Airport,Aeropuerto Int. Ministro Pistarini,Brasil,Río de Janeiro,48,6596,8928
2025,Enero,JetSMART Airlines,Comodoro Arturo Merino Benítez International Airport,Aeroparque Jorge Newbery,Chile,Santiago,58,9995,12462
2025,Enero,JetSMART Airlines,Silvio Pettirossi International Airport,Aeroparque Jorge Newbery,Paraguay,Asunción,14,1872,2604
2025,Enero,JetSMART Airlines,Jorge Chávez International Airport,Aeroparque Jorge Newbery,Perú,Lima,31,4960,5766
2025,Enero,KLM,Amsterdam Airport Schiphol,Aeropuerto Int. Ministro Pistarini,Países Bajos,Amsterdam,28,6300,8254
2025,Enero,KLM,Aeropuerto Int. Ministro Pistarini,Amsterdam Airport Schiphol,Argentina,Buenos Aires,30,7789,8864
2025,Enero,KLM,Aeropuerto Int. Ministro Pistarini,Comodoro Arturo Merino Benítez International Airport,Argentina,Buenos Aires,31,7274,9158
2025,Enero,KLM,Comodoro Arturo Merino Benítez International Airport,Aeropuerto Int. Ministro Pistarini,Chile,Santiago,31,6504,9158
2025,Enero,LATAM,Aeroparque Jorge Newbery,Guarulhos - Governador André Franco Montoro International Airport,Argentina,Buenos Aires,152,23316,26094
2025,Enero,LATAM,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Guarulhos - Governador André Franco Montoro International Airport,Argentina,Mendoza,18,2700,3154
2025,Enero,LATAM,Guarulhos - Governador André Franco Montoro International Airport,Aeroparque Jorge Newbery,Brasil,São Paulo,151,20114,25932
2025,Enero,LATAM,Guarulhos - Governador André Franco Montoro International Airport,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Brasil,São Paulo,18,2397,3154
2025,Enero,LATAM,Aeroparque Jorge Newbery,Comodoro Arturo Merino Benítez International Airport,Argentina,Buenos Aires,123,18469,20838
2025,Enero,LATAM,Aeropuerto Int. Ingeniero Ambrosio Taravella,Comodoro Arturo Merino Benítez International Airport,Argentina,Córdoba,35,5766,6838
2025,Enero,LATAM,Aeropuerto Int. Ministro Pistarini,Comodoro Arturo Merino Benítez International Airport,Argentina,Buenos Aires,93,16100,19268
2025,Enero,LATAM,Comodoro Arturo Merino Benítez International Airport,Aeroparque Jorge Newbery,Chile,Santiago,127,18300,21582
2025,Enero,LATAM,Comodoro Arturo Merino Benítez International Airport,Aeropuerto Int. Ingeniero Ambrosio Taravella,Chile,Santiago,35,5344,6838
2025,Enero,LATAM,Comodoro Arturo Merino Benítez International Airport,Aeropuerto Int. Ministro Pistarini,Chile,Santiago,90,15308,18754
2025,Enero,LATAM,Comodoro Arturo Merino Benítez International Airport,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Chile,Santiago,62,9935,11770
2025,Enero,LATAM,Aeropuerto Int. Ministro Pistarini,Jorge Chávez International Airport,Argentina,Buenos Aires,80,10887,12835
