Año;Trimestre;País de residencia;Provincia visitada;Turistas no residentes*;Noches;Gasto en US$**;Casos Muestrales***;Paso
2025;2;Brasil;Mendoza;5182;31012;3500701.7;73;Ezeiza y Aeroparque
2025;2;Chile;Mendoza;255;1318;122002.4;8;Ezeiza y Aeroparque
2025;2;EE.UU. y Canadá;Mendoza;4457;22470;2461130.8;46;Ezeiza y Aeroparque
2025;2;Europa;Mendoza;4317;43381;3093656.3;71;Ezeiza y Aeroparque
2025;2;Paraguay;Mendoza;29;203;26260.1;1;Ezeiza y Aeroparque
2025;2;Resto de América;Mendoza;3771;29130;4086966.9;88;Ezeiza y Aeroparque
2025;2;Uruguay;Mendoza;595;2988;528013.2;6;Ezeiza y Aeroparque
2025;3;Bolivia;Mendoza;136;555;78946.7;6;Ezeiza y Aeroparque
2025;3;Brasil;Mendoza;4901;32356;3650389.5;49;Ezeiza y Aeroparque
2025;3;Chile;Mendoza;212;1116;92662.9;11;Ezeiza y Aeroparque
2025;3;EE.UU. y Canadá;Mendoza;1272;9924;466734.7;16;Ezeiza y Aeroparque
2025;3;Europa;Mendoza;2789;27573;2579866.1;47;Ezeiza y Aeroparque
2025;3;Paraguay;Mendoza;34;256;21998.1;3;Ezeiza y Aeroparque
2025;3;Resto de América;Mendoza;4329;22058;3799642.5;67;Ezeiza y Aeroparque
2025;3;Resto del mundo;Mendoza;369;4345;333267.9;3;Ezeiza y Aeroparque
2025;3;Uruguay;Mendoza;419;7526;414798.8;3;Ezeiza y Aeroparque
2019;1;Chile;Mendoza;42201;218761;9497748.8;621;Cristo Redentor
2019;1;Resto del mundo;Mendoza;18605;128387;6927361.9;730;Cristo Redentor
2019;2;Chile;Mendoza;29400;113104;5484291.8;652;Cristo Redentor
2019;2;Resto del mundo;Mendoza;11544;65408;4342091.7;611;Cristo Redentor
2019;3;Chile;Mendoza;33180;160255;6890280.0;950;Cristo Redentor
2019;3;Resto del mundo;Mendoza;12629;93436;2998881.1;497;Cristo Redentor
2019;4;Chile;Mendoza;46824;204550;10127739.8;725;Cristo Redentor
