Año,Mes,Empresa agrupada,Origen aeropuerto,Destino aeropuerto,Origen provincia,Vuelos,Pasajeros,Asientos
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Presidente Perón,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Neuquén,22,1698,2662
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Presidente Perón,Aeropuerto Int. Gral. Enrique Mosconi,Neuquén,22,1829,2586
2025,Enero,Aerolíneas Argentinas,Santa Rosa,Aeroparque Jorge Newbery,La Pampa,23,1760,2160
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Tte. Luis Candelaria,Aeropuerto Int. de Rosario Islas Malvinas,Río Negro,13,1723,2187
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Tte. Luis Candelaria,Aeroparque Jorge Newbery,Río Negro,284,42672,47736
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Tte. Luis Candelaria,Aeropuerto Int. Ministro Pistarini,Río Negro,40,5850,6789
2025,Enero,Aerolíneas Argentinas,Aviador C. Campos,Aeroparque Jorge Newbery,Neuquén,70,9696,11375
2025,Enero,Flybondi,Aeroparque Jorge Newbery,Aeropuerto Int. Ingeniero Ambrosio Taravella,Ciudad Autónoma de Buenos Aires,81,12447,15309
2025,Enero,Flybondi,Aeroparque Jorge Newbery,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Ciudad Autónoma de Buenos Aires,100,16101,18846
2025,Enero,Flybondi,Aeroparque Jorge Newbery,Vcom. Angel De La Paz Aragonés,Ciudad Autónoma de Buenos Aires,26,4088,4820
2025,Enero,Flybondi,Aeroparque Jorge Newbery,Aeropuerto Int. Tte. Gral. Benjamín Matienzo,Ciudad Autónoma de Buenos Aires,43,7229,8127
2025,Enero,Flybondi,Aeroparque Jorge Newbery,Aeropuerto Domingo Faustino Sarmiento,Ciudad Autónoma de Buenos Aires,20,2787,3780
2025,Enero,Flybondi,Aeroparque Jorge Newbery,Aeropuerto Int. Dr. Fernando Piragine Niveyro,Ciudad Autónoma de Buenos Aires,40,6240,7560
2025,Enero,Flybondi,Aeroparque Jorge Newbery,Aeropuerto Int. de Puerto Iguazú/My. Carlos E. Krause,Ciudad Autónoma de Buenos Aires,48,8164,8978
2025,Enero,Flybondi,Aeroparque Jorge Newbery,Libertador Gral. D. José De San Martín,Ciudad Autónoma de Buenos Aires,40,6844,7551
2025,Enero,Flybondi,Aeroparque Jorge Newbery,Aeropuerto Int. Gdor. Horacio Guzmán,Ciudad Autónoma de Buenos Aires,23,4155,4347
2025,Enero,Aerolíneas Argentinas,Aeropuerto Int. Tte. Luis Candelaria,Aeropuerto Comte. Armando Tola,Río Negro,27,3937,4534
2025,Enero,Flybondi,Aeroparque Jorge Newbery,El Tehuelche,Ciudad Autónoma de Buenos Aires,20,3185,3686
2025,Enero,Flybondi,Aeroparque Jorge Newbery,Aeropuerto Int. Presidente Perón,Ciudad Autónoma de Buenos Aires,43,7040,8127
2025,Enero,Flybondi,Aeropuerto Int. Ingeniero Ambrosio Taravella,Aeroparque Jorge Newbery,Córdoba,64,10094,12096
2025,Enero,Flybondi,Aeropuerto Int. Ingeniero Ambrosio Taravella,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Córdoba,12,1369,2174
2025,Enero,Flybondi,Aeropuerto Int. Ingeniero Ambrosio Taravella,Aeropuerto Int. Presidente Perón,Córdoba,18,2919,3402
2025,Enero,Flybondi,Aeropuerto Int. Ingeniero Ambrosio Taravella,Aeropuerto Int. Tte. Luis Candelaria,Córdoba,31,4747,5765
2025,Enero,Flybondi,Aeropuerto Int. Ministro Pistarini,Aeropuerto Int. de Puerto Iguazú/My. Carlos E. Krause,Buenos Aires,81,13968,15017
2025,Enero,Flybondi,Aeropuerto Int. Ministro Pistarini,Aeropuerto Int. Martín Miguel de Güemes,Buenos Aires,42,7165,7704
2025,Enero,Flybondi,Aeropuerto Int. Ministro Pistarini,Aeropuerto Int. Gdor. Horacio Guzmán,Buenos Aires,25,4500,4725
2025,Enero,Flybondi,Aeropuerto Int. Ministro Pistarini,Aeropuerto Int. Gral. Enrique Mosconi,Buenos Aires,13,1922,2417
2025,Enero,Flybondi,Aeropuerto Int. Ministro Pistarini,Aeropuerto Comte. Armando Tola,Buenos Aires,44,7049,8316
2025,Enero,Flybondi,Aeropuerto Int. Ministro Pistarini,Aeropuerto Int. Malvinas Argentinas,Buenos Aires,74,11715,13658
2025,Enero,Flybondi,Aeropuerto Int. Ministro Pistarini,Aeropuerto Int. Tte. Luis Candelaria,Buenos Aires,117,19295,21749
2025,Enero,Flybondi,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Aeroparque Jorge Newbery,Mendoza,80,12947,15026
2025,Enero,Flybondi,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Aeropuerto Int. Ingeniero Ambrosio Taravella,Mendoza,11,1243,2079
2025,Enero,Flybondi,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Aeropuerto Int. Ministro Pistarini,Mendoza,32,4835,5886
2025,Enero,Flybondi,Vcom. Angel De La Paz Aragonés,Aeroparque Jorge Newbery,Santiago del Estero,24,4158,4442
2025,Enero,Flybondi,Aeropuerto Int. Tte. Gral. Benjamín Matienzo,Aeroparque Jorge Newbery,Tucumán,33,6011,6237
2025,Enero,Flybondi,Aeropuerto Domingo Faustino Sarmiento,Aeroparque Jorge Newbery,San Juan,15,2247,2741
2025,Enero,Flybondi,Aeropuerto Int. Dr. Fernando Piragine Niveyro,Aeroparque Jorge Newbery,Corrientes,35,5728,6615
2025,Enero,Flybondi,Aeropuerto Int. de Puerto Iguazú/My. Carlos E. Krause,Aeroparque Jorge Newbery,Misiones,59,9317,11111
2025,Enero,Flybondi,Aeropuerto Int. de Puerto Iguazú/My. Carlos E. Krause,Aeropuerto Int. Ministro Pistarini,Misiones,69,10669,12879
2025,Enero,Flybondi,Libertador Gral. D. José De San Martín,Aeroparque Jorge Newbery,Misiones,38,6590,7182
2025,Enero,Flybondi,Aeropuerto Int. Martín Miguel de Güemes,Aeropuerto Int. Ministro Pistarini,Salta,35,5934,6494
2025,Enero,Flybondi,Aeropuerto Int. Gdor. Horacio Guzmán,Aeropuerto Int. Ministro Pistarini,Jujuy,24,4171,4536
2025,Enero,Flybondi,Aeropuerto Int. Gral. Enrique Mosconi,Aeroparque Jorge Newbery,Chubut,18,2971,3308
2025,Enero,Flybondi,El Tehuelche,Aeroparque Jorge Newbery,Chubut,18,2989,3402
2025,Enero,Flybondi,Aeropuerto Comte. Armando Tola,Aeroparque Jorge Newbery,Santa Cruz,18,2908,3308
2025,Enero,Flybondi,Aeropuerto Comte. Armando Tola,Aeropuerto Int. Ministro Pistarini,Santa Cruz,28,4603,5198
2025,Enero,Flybondi,Aeropuerto Comte. Armando Tola,Aeropuerto Int. Malvinas Argentinas,Santa Cruz,22,2718,4158
2025,Enero,Flybondi,Aeropuerto Int. Malvinas Argentinas,Aeropuerto Int. Ministro Pistarini,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",64,9741,11867
2025,Enero,Flybondi,Aeropuerto Int. Malvinas Argentinas,Aeropuerto Comte. Armando Tola,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",22,3177,4158
2025,Enero,Flybondi,Aeropuerto Int. Presidente Perón,Aeroparque Jorge Newbery,Neuquén,32,5102,5954
2025,Enero,Flybondi,Aeropuerto Int. Tte. Luis Candelaria,Aeroparque Jorge Newbery,Río Negro,41,6704,7646
2025,Enero,Flybondi,Aeropuerto Int. Tte. Luis Candelaria,Aeropuerto Int. Ministro Pistarini,Río Negro,106,16982,19679
2025,Enero,JetSMART Airlines,Aeroparque Jorge Newbery,Aeropuerto Int. Ingeniero Ambrosio Taravella,Ciudad Autónoma de Buenos Aires,91,13632,16926
2025,Enero,JetSMART Airlines,Aeroparque Jorge Newbery,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Ciudad Autónoma de Buenos Aires,99,15467,18414
2025,Enero,JetSMART Airlines,Aeroparque Jorge Newbery,Aeropuerto Int. Tte. Gral. Benjamín Matienzo,Ciudad Autónoma de Buenos Aires,29,4761,5394
2025,Enero,JetSMART Airlines,Aeroparque Jorge Newbery,Aeropuerto Int. de Puerto Iguazú/My. Carlos E. Krause,Ciudad Autónoma de Buenos Aires,95,15660,17577
2025,Enero,JetSMART Airlines,Aeroparque Jorge Newbery,Aeropuerto Int. Malvinas Argentinas,Ciudad Autónoma de Buenos Aires,19,2578,3441
2025,Enero,JetSMART Airlines,Aeroparque Jorge Newbery,Aeropuerto Int. Presidente Perón,Ciudad Autónoma de Buenos Aires,68,10695,12555
2025,Enero,JetSMART Airlines,Aeroparque Jorge Newbery,Aeropuerto Int. Tte. Luis Candelaria,Ciudad Autónoma de Buenos Aires,107,18614,19809
2025,Enero,JetSMART Airlines,Aeroparque Jorge Newbery,Aviador C. Campos,Ciudad Autónoma de Buenos Aires,43,6997,7905
2025,Enero,JetSMART Airlines,Aeropuerto Int. Ingeniero Ambrosio Taravella,Aeroparque Jorge Newbery,Córdoba,89,13180,16461
2025,Enero,JetSMART Airlines,Aeropuerto Int. Ministro Pistarini,Aeropuerto Int. Martín Miguel de Güemes,Buenos Aires,12,1852,2139
2025,Enero,JetSMART Airlines,Aeropuerto Int. Ministro Pistarini,Aeropuerto Comte. Armando Tola,Buenos Aires,26,3193,4743
2025,Enero,JetSMART Airlines,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Aeroparque Jorge Newbery,Mendoza,97,14507,17949
2025,Enero,JetSMART Airlines,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Aeropuerto Int. Martín Miguel de Güemes,Mendoza,18,2163,3255
2025,Enero,JetSMART Airlines,Aeropuerto Int. Tte. Gral. Benjamín Matienzo,Aeropuerto Int. Ministro Pistarini,Tucumán,5,789,930
2025,Enero,JetSMART Airlines,Aeropuerto Int. de Puerto Iguazú/My. Carlos E. Krause,Aeroparque Jorge Newbery,Misiones,85,12946,15810
2025,Enero,JetSMART Airlines,Aeropuerto Int. Martín Miguel de Güemes,Aeroparque Jorge Newbery,Salta,49,8409,9114
2025,Enero,JetSMART Airlines,Aeropuerto Int. Martín Miguel de Güemes,Aeropuerto Int. El Plumerillo/Gob. Francisco Gabrielli,Salta,18,2155,3348
2025,Enero,JetSMART Airlines,Aeropuerto Int. Martín Miguel de Güemes,Aeropuerto Int. Presidente Perón,Salta,23,3948,4185
2025,Enero,JetSMART Airlines,Aeropuerto Comte. Armando Tola,Aeroparque Jorge Newbery,Santa Cruz,21,2556,3906
